Key,Date,mmdd,DayOfTheWeek,Area,Distance,Timestamp,Tip,OrderAmount,TipPercent,Housing,GenderOfTipper,Cash/Credit_Tip,Cash/Credit_Order,GenderOfDeliverer,PersonWhoDelivered,Area(text),Latitude,Longitude,month
508,42259,912,Saturday,6,0.3,0.931944444,4,32.18,0.124300808,Apartment,Female,Cash,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
509,42210,725,Saturday,5,2,0.93125,2.9,17.1,0.169590643,House,Male,Cash,Cash,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Jul
510,42274,927,Sunday,5,2.1,0.93125,5,21.81,0.229252636,House,Male,Credit,Credit,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
511,42267,920,Sunday,5,0.8,0.930555556,0.74,34.26,0.021599533,House,Male,Cash,Cash,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
512,42294,1017,Saturday,2,3.4,0.930555556,3,10.26,0.292397661,Apartment,Male,Credit,Credit,Male,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
513,42204,719,Sunday,6,0.9,0.929861111,3,16.79,0.178677784,House,Male,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
514,42267,920,Sunday,2,2.5,0.929861111,0.5,8.83,0.056625142,Apartment,Male,Cash,Credit,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
515,42251,904,Friday,1,2.5,0.928472222,5.4,16.6,0.325301205,House,Male,Cash,Cash,Female,Sammie,North End,43.633105,-116.208304,Sep
516,42286,1009,Friday,1,2.5,0.928472222,5,31.74,0.157529931,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Oct
517,42286,1009,Friday,1,2.1,0.928472222,0,17.84,0,House,Female,-,Credit,Male,Angel,North End,43.633105,-116.208304,Oct
518,42265,918,Friday,7,3,0.927777778,4.28,15.72,0.272264631,Business,Female,Cash,Cash,Female,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Sep
519,42210,725,Saturday,5,1.7,0.927083333,4,22.15,0.180586907,House,Male,Credit,Credit,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Jul
520,42232,816,Sunday,1,2,0.927083333,6,29.28,0.204918033,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Aug
521,42230,814,Friday,1,2.5,0.926388889,4.22,16.78,0.251489869,House,Female,Cash,Cash,Female,Sammie,North End,43.633105,-116.208304,Aug
522,42253,906,Sunday,3,2.3,0.925694444,0,14.65,0,Apartment,Female,-,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Sep
523,42216,731,Friday,7,2.4,0.924305556,1,22.08,0.045289855,House,Male,Cash,Cash,Female,Sammie,West of Gary/Glennwood,43.672328,-116.286124,Jul
524,42265,918,Friday,3,3.2,0.922222222,5,18.24,0.274122807,Apartment,Male,Credit,Credit,Male,Angel,Garden City,43.633857,-116.24628,Sep
525,42217,801,Saturday,1,2.9,0.921527778,2.56,16.12,0.158808933,Apartment,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Aug
526,42279,1002,Friday,3,2.9,0.921527778,0.12,19.58,0.006128703,Business,Male,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Oct
527,42213,728,Tuesday,1,3.8,0.920833333,3,13.3,0.22556391,Apartment,Female,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Jul
528,42273,926,Saturday,3,2.7,0.920138889,2.35,14.65,0.160409556,Hotel,Female,Cash,Cash,Male,Angel,Garden City,43.633857,-116.24628,Sep
529,42246,830,Sunday,5,1.4,0.919444444,1.56,28.44,0.054852321,House,Male,Cash,Cash,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
530,42258,911,Friday,8,7.6,0.919444444,1.33,23.67,0.056189269,House,Female,Cash,Cash,Female,Sammie,Hidden Springs,43.723879,-116.255046,Sep
531,42286,1009,Friday,6,1.1,0.917361111,2,15.44,0.129533679,House,Male,Cash,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Oct
532,42213,728,Tuesday,1,3.7,0.916666667,4,14.65,0.273037543,Apartment,Male,Cash,Credit,Male,Angel,North End,43.633105,-116.208304,Jul
533,42308,1031,Saturday,9,1.3,0.916666667,10,31.34,0.319081047,Apartment,Male,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
534,42259,912,Saturday,6,0.2,0.915972222,2,19.94,0.100300903,Apartment,Male,Credit,Credit,Female,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
535,42261,914,Monday,5,1.1,0.915277778,0,21.43,0,House,Male,-,Credit,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
536,42272,925,Friday,7,3.3,0.914583333,2,14.65,0.136518771,House,Male,Credit,Credit,Male,Angel,West of Gary/Glennwood,43.672328,-116.286124,Sep
537,42274,927,Sunday,1,2.7,0.914583333,4.88,10.12,0.482213439,House,Female,Cash,Cash,Female,Sammie,North End,43.633105,-116.208304,Sep
538,42233,817,Monday,3,2.3,0.913194444,0,16.78,0,Apartment,Male,-,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Aug
539,42265,918,Friday,3,2.1,0.9125,1.52,11.48,0.132404181,Apartment,Female,Cash,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Sep
540,42287,1010,Saturday,5,1.5,0.9125,3,16.24,0.184729064,House,Male,Credit,Credit,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Oct
541,42287,1010,Saturday,3,2.2,0.9125,2.75,14.25,0.192982456,Apartment,Male,Cash,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Oct
542,42294,1017,Saturday,5,1.1,0.9125,4,16.78,0.238379023,House,Female,Credit,Credit,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Oct
543,42239,823,Sunday,3,2.3,0.911805556,3,11.48,0.261324042,Apartment,Male,Credit,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Aug
544,42281,1004,Sunday,6,1.3,0.911805556,1,21,0.047619048,House,Male,Cash,Cash,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Oct
545,42302,1025,Sunday,10,4.8,0.911805556,0.13,20.18,0.006442022,House,Male,-,Cash,Male,Angel,Bogus Basin - Brumback Hills,43.654203,-116.190788,Oct
547,42206,721,Tuesday,1,3.7,0.909722222,5,19.3,0.259067358,Apartment,Male,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Jul
548,42300,1023,Friday,6,1,0.909722222,1.45,23.54,0.061597281,House,Male,Cash,Cash,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Oct
549,42230,814,Friday,5,1.7,0.909027778,4,15.18,0.263504611,House,Female,Credit,Credit,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Aug
550,42253,906,Sunday,3,2.7,0.909027778,0.33,23.67,0.013941698,Apartment,Male,Cash,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Sep
551,42254,907,Monday,1,3.5,0.909027778,3,14.65,0.204778157,Apartment,Male,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Sep
552,42265,918,Friday,5,0.9,0.909027778,4,26.78,0.149365198,House,Male,Credit,Credit,Female,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
553,42279,1002,Friday,2,2,0.909027778,2,13.97,0.143163923,Apartment,Male,Credit,Credit,Male,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
554,42286,1009,Friday,10,4.2,0.908333333,4.28,15.72,0.272264631,House,Male,Cash,Cash,Female,Sammie,Bogus Basin - Brumback Hills,43.654203,-116.190788,Oct
555,42307,1030,Friday,1,3.2,0.908333333,4,10.12,0.395256917,House,Female,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Oct
556,42287,1010,Saturday,9,0.4,0.907638889,3,20.36,0.147347741,Apartment,Female,Credit,Credit,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
557,42204,719,Sunday,2,2.9,0.905555556,3,21.43,0.139990667,Apartment,Male,Cash,Credit,Male,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Jul
558,42225,809,Sunday,9,0.9,0.905555556,3,13.3,0.22556391,Apartment,Male,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
559,42266,919,Saturday,5,1.2,0.905555556,2.69,17.31,0.155401502,House,Female,Cash,Cash,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
560,42273,926,Saturday,1,3.3,0.905555556,1.13,8.83,0.12797282,Apartment,Male,Cash,Cash,Female,Sammie,North End,43.633105,-116.208304,Sep
561,42210,725,Saturday,1,3.9,0.904861111,3,16.24,0.184729064,House,Female,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Jul
562,42265,918,Friday,6,1.7,0.904166667,5,12.87,0.388500389,Apartment,Male,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Sep
563,42294,1017,Saturday,1,2.5,0.904166667,3.46,12.54,0.275917065,House,Female,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Oct
564,42232,816,Sunday,1,3,0.902777778,2.22,25.78,0.086113266,House,Female,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Aug
565,42293,1016,Friday,1,3.4,0.902083333,3,13.97,0.214745884,House,Male,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Oct
566,42293,1016,Friday,6,1.4,0.900694444,3,18.83,0.159320234,House,Female,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Oct
567,42273,926,Saturday,1,2.3,0.9,5,28.44,0.17580872,House,Male,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Sep
568,42232,816,Sunday,1,3.2,0.899305556,4,19.96,0.200400802,House,Male,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Aug
569,42233,817,Monday,9,0.0738636,0.899305556,2,14.88,0.134408602,Apartment,Female,Credit,Credit,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
570,42251,904,Friday,6,1.2,0.898611111,4,25.6,0.15625,House,Male,Credit,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Sep
571,42254,907,Monday,1,2.1,0.898611111,2.05,40.95,0.05006105,House,Male,Cash,Cash,Male,Angel,North End,43.633105,-116.208304,Sep
572,42272,925,Friday,5,0.6,0.898611111,1.86,23.14,0.080380294,House,Female,Cash,Cash,Male,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
573,42274,927,Sunday,3,2,0.898611111,5.7,19.3,0.295336788,Apartment,Female,Cash,Cash,Female,Sammie,Garden City,43.633857,-116.24628,Sep
574,42288,1011,Sunday,3,2.2,0.898611111,0,22.97,0,Apartment,Male,-,Credit,Male,Angel,Garden City,43.633857,-116.24628,Oct
575,42307,1030,Friday,9,1.7,0.898611111,5,17.69,0.282645562,Apartment,Male,Credit,Credit,Female,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
576,42244,828,Friday,1,3.4,0.897916667,3,15.44,0.194300518,Apartment,Female,Credit,Credit,Female,Sammie,North End,43.633105,-116.208304,Aug
577,42197,712,Sunday,8,7.5,0.897222222,5.97,31.03,0.192394457,House,Female,Cash,Cash,Male,Angel,Hidden Springs,43.723879,-116.255046,Jul
578,42232,816,Sunday,2,2.6,0.897222222,3.31,26.69,0.124016486,Apartment,Female,Cash,Cash,Female,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
579,42261,914,Monday,3,2.3,0.897222222,2,23.01,0.086918731,House,Male,Credit,Credit,Female,Sammie,Garden City,43.633857,-116.24628,Sep
580,42258,911,Friday,10,3.3,0.896527778,4,38.81,0.10306622,House,Male,Credit,Credit,Female,Sammie,Bogus Basin - Brumback Hills,43.654203,-116.190788,Sep
581,42267,920,Sunday,2,3,0.896527778,0,14.65,0,Apartment,Female,-,Credit,Male,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
582,42295,1018,Sunday,6,0.2,0.896527778,0,13.68,0,Apartment,Female,-,Credit,Male,Angel,Collister - Gary (North of State),43.666573,-116.263356,Oct
583,42204,719,Sunday,9,0.3,0.895833333,3.18,22.82,0.139351446,Apartment,Male,Credit,Credit,Male,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Jul
585,42213,728,Tuesday,1,2.1,0.894444444,2.63,20.37,0.129111438,House,Female,Credit,Credit,Male,Angel,North End,43.633105,-116.208304,Jul
